Latitud: 10.985179, Longitud: -74.797049, Fecha: 7/3/2023, Hora: 10:20:59
Latitud: 10.985177, Longitud: -74.797053, Fecha: 7/3/2023, Hora: 10:21:9
Latitud: 10.985177, Longitud: -74.797053, Fecha: 7/3/2023, Hora: 10:21:10
Latitud: 10.985219, Longitud: -74.797032, Fecha: 7/3/2023, Hora: 10:21:34
Latitud: 10.985219, Longitud: -74.797032, Fecha: 7/3/2023, Hora: 10:21:34
Latitud: 10.98522, Longitud: -74.797024, Fecha: 7/3/2023, Hora: 10:21:49
Latitud: 10.985221, Longitud: -74.797025, Fecha: 7/3/2023, Hora: 10:21:50
Latitud: 10.985221, Longitud: -74.797025, Fecha: 7/3/2023, Hora: 10:21:59
Latitud: 10.985187, Longitud: -74.797001, Fecha: 7/3/2023, Hora: 10:22:23
Latitud: 10.985189, Longitud: -74.796997, Fecha: 7/3/2023, Hora: 10:22:29
Latitud: 10.985188, Longitud: -74.796999, Fecha: 7/3/2023, Hora: 10:22:39
Latitud: 10.985188, Longitud: -74.796999, Fecha: 7/3/2023, Hora: 10:22:40
Latitud: 10.985188, Longitud: -74.797, Fecha: 7/3/2023, Hora: 10:22:49
Latitud: 10.985262, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:22:59
Latitud: 10.985262, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:22:59
Latitud: 10.985262, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:22:59
Latitud: 10.985262, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:22:59
Latitud: 10.985262, Longitud: -74.79696, Fecha: 7/3/2023, Hora: 10:22:59
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:24:18
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:24:18
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:24:20
Latitud: 10.985184, Longitud: -74.796991, Fecha: 7/3/2023, Hora: 10:24:30
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:24:40
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:24:50
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:25:0
Latitud: 10.985184, Longitud: -74.796992, Fecha: 7/3/2023, Hora: 10:25:10
Latitud: 10.985134, Longitud: -74.796883, Fecha: 7/3/2023, Hora: 10:25:35
Latitud: 10.985134, Longitud: -74.796883, Fecha: 7/3/2023, Hora: 10:25:35
Latitud: 10.985125, Longitud: -74.796876, Fecha: 7/3/2023, Hora: 10:25:50
Latitud: 10.985128, Longitud: -74.796877, Fecha: 7/3/2023, Hora: 10:26:0
Latitud: 10.985128, Longitud: -74.796878, Fecha: 7/3/2023, Hora: 10:26:0
Latitud: 10.985129, Longitud: -74.796878, Fecha: 7/3/2023, Hora: 10:26:10
Latitud: 10.985145, Longitud: -74.796904, Fecha: 7/3/2023, Hora: 10:26:36
Latitud: 10.985145, Longitud: -74.796904, Fecha: 7/3/2023, Hora: 10:26:36
Latitud: 10.985146, Longitud: -74.796907, Fecha: 7/3/2023, Hora: 10:26:45
Latitud: 10.985145, Longitud: -74.796905, Fecha: 7/3/2023, Hora: 10:27:0
Latitud: 10.985145, Longitud: -74.79691, Fecha: 7/3/2023, Hora: 10:27:13
Latitud: 10.985145, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:27:20
Latitud: 10.985145, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:27:20
Latitud: 10.985145, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:27:30
Latitud: 10.985145, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:27:40
Latitud: 10.985178, Longitud: -74.796911, Fecha: 7/3/2023, Hora: 10:28:4
Latitud: 10.985178, Longitud: -74.796908, Fecha: 7/3/2023, Hora: 10:28:10
Latitud: 10.985178, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:28:10
Latitud: 10.985178, Longitud: -74.796909, Fecha: 7/3/2023, Hora: 10:28:20
Latitud: 10.985178, Longitud: -74.79691, Fecha: 7/3/2023, Hora: 10:28:30
Latitud: 10.985188, Longitud: -74.796911, Fecha: 7/3/2023, Hora: 10:29:1
Latitud: 10.985188, Longitud: -74.796911, Fecha: 7/3/2023, Hora: 10:29:1
Latitud: 10.985185, Longitud: -74.796901, Fecha: 7/3/2023, Hora: 10:29:10
Latitud: 10.985186, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:29:10
Latitud: 10.985186, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:29:10
Latitud: 10.985186, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:29:10
Latitud: 10.985186, Longitud: -74.796903, Fecha: 7/3/2023, Hora: 10:29:10
